V1,ZmRoot,ZmSAM,ZmPAN,,,
AC193658.3_FG001,4025,0,0,,,
AC193754.3_FG008,2527,0,0,,,
AC193786.3_FG005,2531,0,45,,,
AC194005.3_FG004,2,0,0,,,
AC194022.3_FG013,4119,18,2,,,
AC194056.3_FG008,1621,0,8,,,
AC194112.3_FG001,0,150,0,,,
AC194158.3_FG005,3681,0,13,,,
AC194176.3_FG002,1020,0,0,,,
AC194264.3_FG006,8,0,1,,,
AC194272.3_FG003,0,680,0,,,
AC194298.3_FG005,0,0,141,,,
AC194325.3_FG006,1022,0,0,,,
AC194341.4_FG002,3,334,5,,,
AC194341.4_FG004,1025,0,0,,,
AC194389.3_FG001,1026,0,9,,,
AC194402.2_FG004,1489,0,0,,,
AC194425.3_FG005,5,0,0,,,
AC194609.2_FG003,8,0,0,,,
AC194852.3_FG007,2556,0,0,,,
AC194878.3_FG002,0,43,0,,,
AC194898.3_FG003,1032,0,0,,,
AC194914.3_FG002,5,241,2,,,
AC194937.3_FG004,3963,0,4,,,
AC194965.4_FG001,1642,0,1,,,
AC194965.4_FG004,675,0,2,,,
AC194970.5_FG001,1036,2,6,,,
AC194970.5_FG002,5,4,2,,,
AC194970.5_FG004,678,0,31,,,
AC194970.5_FG005,401,681,3,,,
AC194970.5_FG009,2574,244,3,,,
AC194974.3_FG005,332,0,0,,,
AC195147.3_FG008,2,0,0,,,
AC195154.3_FG004,8,0,1,,,
AC195172.3_FG001,464,0,0,,,
AC195331.3_FG008,4196,10,2,,,
AC195340.3_FG001,323,233,684,,,
AC195340.3_FG002,4201,234,16,,,
AC195340.3_FG004,687,0,3,,,
AC195347.4_FG004,0,0,18,,,
AC195587.4_FG004,468,0,686,,,
AC195785.3_FG004,5,0,20,,,
AC195796.3_FG001,2587,0,0,,,
AC195860.3_FG005,4,0,0,,,
AC195860.3_FG006,3,124,10,,,
AC195874.2_FG002,2591,27,88,,,
AC196043.3_FG005,2494,0,0,,,
AC196059.3_FG003,1660,2,340,,,
AC196066.3_FG003,9,0,2,,,
AC196090.3_FG006,2,20,2,,,
AC196156.3_FG003,0,687,0,,,
AC196158.3_FG002,2598,0,0,,,
AC196202.3_FG007,234,0,0,,,
AC196259.2_FG010,446,0,0,,,
AC196278.2_FG003,4,12,1,,,
AC196278.2_FG004,2599,78,1,,,
AC196394.3_FG002,336,0,0,,,
AC196426.3_FG007,1461,6,1,,,
AC196465.3_FG006,1,0,1,,,
AC196475.3_FG004,5,49,3,,,
AC196475.3_FG005,7,665,0,,,
AC196489.3_FG002,3,96,5,,,
AC196708.3_FG006,2,0,3,,,
AC196726.2_FG001,1673,0,0,,,
AC196779.3_FG003,1675,48,24,,,
AC196780.4_FG003,624,0,0,,,
AC196956.3_FG003,2616,0,0,,,
AC196957.3_FG005,1678,0,0,,,
AC196961.2_FG003,4,1,5,,,
AC196974.3_FG008,2620,0,391,,,
AC197013.3_FG003,3886,0,1,,,
AC197029.3_FG003,1059,0,697,,,
AC197047.3_FG001,617,0,0,,,
AC197056.3_FG005,696,0,15,,,
AC197118.3_FG005,0,0,36,,,
AC197122.3_FG003,646,0,1,,,
AC197143.3_FG007,0,248,0,,,
AC197146.3_FG001,4,1,14,,,
AC197146.3_FG002,138,0,0,,,
AC197150.3_FG003,0,2,0,,,
AC197246.3_FG001,2589,115,5,,,
AC197246.3_FG003,2626,3,5,,,
AC197340.3_FG003,1647,0,0,,,
AC197355.3_FG001,1686,0,0,,,
AC197387.3_FG004,1687,2,0,,,
AC197541.3_FG009,1062,0,0,,,
AC197545.3_FG002,3,0,1,,,
AC197555.3_FG008,479,0,0,,,
AC197578.4_FG001,4275,0,0,,,
AC197672.3_FG002,4,6,1,,,
AC197699.3_FG002,13,0,0,,,
AC197699.3_FG003,480,0,15,,,
AC197705.4_FG001,10,0,0,,,
AC197705.4_FG003,6,0,11,,,
AC197705.4_FG006,1,6,9,,,
AC197705.4_FG007,3,9,10,,,
AC197705.4_FG011,943,0,6,,,
AC197714.3_FG004,1008,0,0,,,
AC197717.3_FG002,39,15,0,,,
AC197758.3_FG004,2,0,0,,,
AC197764.4_FG003,339,0,0,,,
AC198025.3_FG001,1074,0,0,,,
AC198169.4_FG004,2654,448,6,,,
AC198179.4_FG001,4202,0,0,,,
AC198206.5_FG001,5,0,2,,,
AC198352.4_FG005,0,4,0,,,
AC198353.5_FG001,1711,0,0,,,
AC198353.5_FG004,4332,0,6,,,
AC198361.3_FG004,1,0,9,,,
AC198380.3_FG001,2621,0,0,,,
AC198403.3_FG001,401,0,0,,,
AC198414.2_FG001,22,0,701,,,
AC198418.3_FG005,1718,0,6,,,
AC198421.3_FG003,0,450,0,,,
AC198481.3_FG004,1,9,1,,,
AC198490.3_FG003,717,0,0,,,
AC198518.3_FG002,262,0,0,,,
AC198518.3_FG003,2672,0,35,,,
AC198725.4_FG004,10,0,0,,,
AC198725.4_FG007,230,0,1,,,
AC198725.4_FG009,484,0,0,,,
AC198923.4_FG002,2,0,178,,,
AC198937.4_FG003,106,0,0,,,
AC198982.3_FG006,1725,8,6,,,
AC199001.3_FG005,423,324,1,,,
AC199043.2_FG002,582,0,0,,,
AC199058.2_FG001,719,0,0,,,
AC199067.2_FG004,4176,150,2,,,
AC199068.2_FG017,2,0,0,,,
AC199315.4_FG001,60,0,0,,,
AC199363.4_FG003,1,0,1,,,
AC199439.4_FG005,940,0,0,,,
AC199487.4_FG003,132,0,0,,,
AC199526.5_FG002,168,34,0,,,
AC199526.5_FG003,152,0,2,,,
AC199541.4_FG001,1732,0,7,,,
AC199541.4_FG007,2398,0,0,,,
AC199571.3_FG001,1736,0,0,,,
AC199571.3_FG004,185,97,705,,,
AC199705.3_FG008,4385,2,4,,,
AC199765.4_FG008,2,14,3,,,
AC199782.5_FG001,3,27,710,,,
AC199782.5_FG002,4,37,1,,,
AC199782.5_FG003,1739,4,0,,,
AC199826.4_FG003,2694,0,0,,,
AC199893.4_FG002,4003,0,0,,,
AC199911.5_FG001,6,0,0,,,
AC200057.4_FG007,2700,0,1,,,
AC200065.5_FG009,240,0,0,,,
AC200209.1_FG001,0,43,0,,,
AC200210.1_FG006,8,0,1,,,
AC200298.4_FG001,4420,0,0,,,
AC200725.4_FG003,2703,0,0,,,
AC200753.3_FG003,1747,0,711,,,
AC201767.3_FG003,1,0,0,,,
AC201769.3_FG002,0,190,43,,,
AC201815.4_FG001,2706,0,0,,,
AC202011.3_FG010,4,0,0,,,
AC202073.4_FG001,730,0,712,,,
AC202076.3_FG009,25,0,0,,,
AC202107.3_FG001,15,0,0,,,
AC202110.3_FG004,0,5,0,,,
AC202144.5_FG001,408,0,0,,,
AC202181.3_FG010,0,695,0,,,
AC202185.4_FG004,2,455,24,,,
AC202432.3_FG006,456,0,0,,,
AC202435.3_FG001,5,0,7,,,
AC202439.3_FG001,5,0,0,,,
AC202439.3_FG006,4092,0,0,,,
AC202864.3_FG002,4,0,179,,,
AC202900.3_FG001,94,0,0,,,
AC202915.3_FG002,1586,81,401,,,
AC203031.3_FG002,5,0,2,,,
AC203048.3_FG001,287,0,0,,,
AC203173.3_FG001,302,0,0,,,
AC203173.3_FG002,1116,0,0,,,
AC203173.3_FG004,3,17,1,,,
AC203294.3_FG012,0,696,0,,,
AC203366.4_FG001,8,0,1,,,
AC203381.3_FG006,12,0,0,,,
AC203392.3_FG004,0,47,0,,,
AC203401.3_FG003,4383,0,0,,,
AC203408.4_FG003,304,0,0,,,
AC203424.3_FG001,1508,11,0,,,
AC203430.3_FG007,2727,0,0,,,
AC203535.4_FG001,115,6,1,,,
AC203535.4_FG002,59,0,2,,,
AC203535.4_FG004,118,2,4,,,
AC203535.4_FG006,1121,24,0,,,
AC203570.4_FG005,5,150,0,,,
AC203571.3_FG001,5,0,0,,,
AC203752.5_FG002,2738,23,1,,,
AC203753.4_FG006,37,0,17,,,
AC203753.4_FG007,1112,0,0,,,
AC203754.4_FG008,3875,697,620,,,
AC203761.3_FG002,8,0,1,,,
AC203841.3_FG002,1689,8,6,,,
AC203841.3_FG009,4272,0,406,,,
AC203862.4_FG001,5,0,38,,,
AC203862.4_FG002,1,458,0,,,
AC203865.3_FG001,701,0,0,,,
AC203909.3_FG003,13,0,0,,,
AC203909.3_FG006,261,4,181,,,
AC203957.3_FG001,143,0,0,,,
AC203957.3_FG004,36,0,0,,,
