Phospho_Root_Tissues	Phospho_Root_Meristem	Phospho_Root_Meristem_Elong	Phospho_Root_Meristem_Elong_2	Phospho_Root_Cortex	Phospho_Root_Cortex_Silk	Phospho_Root_Cortex_&_Silk	Phospho_Multiple_7	Phospho_Multiple_6	Phospho_Multiple_5	Phospho_Multiple_1	Phospho_Mature_Pollen	Phospho_Mature_Leaf	Phospho_Leaf_Zone_3	Phospho_Leaf_Zone_3_&_Embryo_20	Phospho_Internodes	"Phospho_Internode,Silk,Pr.Root"	Phospho_Germinating_Kernals	Phospho_Endosperm_Crown	Phospho_Endosperm_12_DAP	Phospho_EndoCrown_&_PericapAl	Phospho_Embryo_20_DAP	"Phospho_EarPrim,Leaf1-3Embr20"	Phospho_Dividing_Meristematic	RNA_Silk	RNA_Silk_&_Famale_Spiklet	RNA_Root_Tissues	RNA_Root_Meristem	RNA_Root_Meristem_Elongation	RNA_Root_Cortex	RNA_Root_Cortex_2	RNA_Pericarp_Aleurone	RNA_Multiple_Dividing_Tissues	RNA_Multiple_4	RNA_Mature_Pollen	RNA_Mature_Leaf_8	RNA_Internodes_&_Veg.Meristem	RNA_Germinating_Kernals	RNA_Germinating_Kernals_2	RNA_FemaleSpikIt_&_VegMeristem	RNA_Female_Spikelet_&_Internode	RNA_Endosperm_12_DAP	RNA_EndoCrown_&_PericarpAl	RNA_Embryo	RNA_Embryo_20_DAP	RNA_Embryo_Ear_Primordia	RNA_Ear_Primordia	"RNA_EarPrim,Leaf1-3,Embr20"	Protein_Dividing_Meristematic	Protein_EndoCrown&PericarpAl	Protein_Germinating_Kernals	Protein_Internodes_2	Protein_Internodes	Protein_Leaf_Zone_3	Protein_Mature_Leaf_8	Protein_Mature_Pollen	Protein_Multiple_1	Protein_Multiple_2	Protein_Multiple_3	Protein_Pericarp_Aleurone	Protein_PrimaryRoot&RootCortex	Protein_Root_Cortex_Silk	Protein_Root_Cortex	Protein_Root_Meristem	Protein_Root_Tissues	Protein_Young_Seed_(En&Em)
																									GRMZM2G070913	GRMZM2G099474		GRMZM2G146225	GRMZM2G095141	GRMZM2G142685			GRMZM2G154167	GRMZM2G525967	GRMZM2G175453	GRMZM2G313670									GRMZM5G878162		GRMZM2G169688	GRMZM2G034882															GRMZM2G044055		
																									GRMZM2G023827	GRMZM2G120857		GRMZM2G703491	GRMZM2G057789	GRMZM2G530577			GRMZM2G088828	GRMZM2G539565	GRMZM2G420436	GRMZM2G143723									GRMZM2G045930		GRMZM2G385925	GRMZM2G034943															GRMZM2G044128		
																									GRMZM2G040840	GRMZM2G168355		AC166636.1_FG007	GRMZM2G171277	GRMZM2G147491			GRMZM2G103357	GRMZM2G065498	AC200202.2_FG003	GRMZM2G144421									GRMZM2G154975		GRMZM2G323622	GRMZM2G034975															GRMZM2G044137		
																									GRMZM2G064254	GRMZM2G091302		GRMZM2G020785	AC198362.3_FG003	GRMZM2G142984			GRMZM2G082131	AC193367.3_FG001	GRMZM2G429972	GRMZM2G446858									AC198781.3_FG014		GRMZM2G178106	GRMZM2G035118															GRMZM2G044348		
																									GRMZM2G520193	GRMZM2G020976		GRMZM5G894196	GRMZM2G026656	GRMZM5G891259			GRMZM2G155375	GRMZM2G137710	GRMZM2G341621	GRMZM2G424322									GRMZM2G166911		GRMZM2G128574	GRMZM2G035134															GRMZM2G044388		
																									GRMZM2G164117	GRMZM2G405406		GRMZM2G041799	GRMZM2G067183	GRMZM5G864335			GRMZM2G086236	GRMZM5G891371	GRMZM2G044247	GRMZM2G478430									GRMZM2G029098		GRMZM2G022061	GRMZM2G035217															GRMZM2G044553		
																									GRMZM2G173295	GRMZM5G809587		GRMZM2G024739	GRMZM2G470984	GRMZM2G115775			GRMZM2G122045	GRMZM2G309512	GRMZM2G046229	GRMZM5G817651											GRMZM2G574502	GRMZM2G035278															GRMZM2G044569		
																									GRMZM2G018143	GRMZM5G896764		GRMZM2G109818	GRMZM2G073979	GRMZM2G174204			GRMZM2G006806	GRMZM2G047080	GRMZM2G036057	GRMZM2G067943											GRMZM2G034453	GRMZM2G035290															GRMZM2G044771		
																									GRMZM2G035592	GRMZM2G432662		GRMZM2G165270	AC234528.1_FG004	GRMZM2G426161			GRMZM2G072741	GRMZM2G354117	GRMZM2G104608	GRMZM2G303091											GRMZM2G051055	GRMZM2G035325															GRMZM2G044832		
																									GRMZM2G383147	GRMZM2G389196		GRMZM2G335448	GRMZM2G000816	GRMZM2G001139			GRMZM2G362306	AC199768.4_FG008	AC194391.3_FG003	GRMZM2G176437											GRMZM2G047181	GRMZM2G035338															GRMZM2G044942		
																									GRMZM2G066784	GRMZM2G113135		GRMZM2G138736	GRMZM2G458728	GRMZM2G073114			GRMZM2G131638	GRMZM2G172015	GRMZM2G117531	GRMZM2G434557											GRMZM2G178797	GRMZM2G035356															GRMZM2G045005		
																									GRMZM2G147301	GRMZM5G872373		GRMZM2G180065	GRMZM2G039542	GRMZM2G050851			GRMZM5G875702	GRMZM2G045178	GRMZM2G004222	AC198725.4_FG004											AC214266.3_FG002	GRMZM2G035395															GRMZM2G045287		
																									AC216872.3_FG002	GRMZM2G011624		GRMZM2G057111	GRMZM2G114644	GRMZM2G133781			GRMZM2G017584	GRMZM2G068504	GRMZM2G548591	AC194389.3_FG001											GRMZM5G833523	GRMZM2G035430															GRMZM2G045303		
																									GRMZM5G895356	GRMZM2G339645		GRMZM2G044676	GRMZM2G152126	GRMZM2G042101			GRMZM2G085547	GRMZM2G149621	GRMZM2G700046	GRMZM2G043301											GRMZM2G451882	GRMZM2G035451															GRMZM2G045318		
																									GRMZM2G036557	GRMZM2G077760		GRMZM5G886561	GRMZM2G098015	GRMZM2G039431			GRMZM2G038950	GRMZM2G507830	GRMZM2G027021	AC217910.3_FG001											GRMZM5G825854	GRMZM2G035502															GRMZM2G045331		
																									GRMZM2G370026	GRMZM2G050089		GRMZM2G146111	GRMZM2G449887	GRMZM2G475059			GRMZM2G132301	GRMZM2G360792	GRMZM5G829297	GRMZM2G034508											GRMZM2G383623	GRMZM2G035594															GRMZM2G045433		
																									GRMZM2G044818	GRMZM2G125170		GRMZM2G122863	GRMZM2G310947	GRMZM2G008819			GRMZM2G055667	GRMZM2G388825	GRMZM2G179264	GRMZM2G006714											GRMZM2G161168	GRMZM2G035665															GRMZM2G045503		
																									GRMZM2G377194	GRMZM2G087323		GRMZM2G171855	GRMZM2G016435	GRMZM2G553607			GRMZM5G865319	GRMZM2G417451	GRMZM2G107968	GRMZM2G169544											GRMZM2G533618	GRMZM2G035719															GRMZM2G045534		
																									GRMZM2G136353	GRMZM5G897988		GRMZM2G088053	GRMZM2G134149	GRMZM2G051912			GRMZM2G383031	GRMZM2G166156	GRMZM2G350693	GRMZM2G071274											GRMZM2G575444	GRMZM2G035779															GRMZM2G045818		
																									GRMZM2G021973	GRMZM2G357620		GRMZM2G001247	GRMZM2G113401	AC233979.1_FG008			GRMZM2G022694	GRMZM2G078880	GRMZM2G000219	GRMZM2G472693											GRMZM2G143790	GRMZM2G035807															GRMZM2G045854		
																									GRMZM2G107715	GRMZM5G825437		GRMZM2G172581	GRMZM2G060800	GRMZM2G172369			GRMZM2G426953	GRMZM2G359612	GRMZM2G034174	AC205703.4_FG001											GRMZM2G547082	GRMZM2G035820															GRMZM2G045921		
																									GRMZM5G867581	GRMZM2G137352		GRMZM2G160211	GRMZM2G131340	GRMZM2G405071			GRMZM2G104958	GRMZM2G175840	GRMZM5G845129	GRMZM2G116029											GRMZM2G453424	GRMZM2G035843															GRMZM2G046011		
																									GRMZM2G065245	GRMZM2G070242		GRMZM2G016878	GRMZM2G025528	GRMZM2G132331			GRMZM2G039711	GRMZM2G169335	GRMZM2G455085	GRMZM2G091293											GRMZM2G089567	GRMZM2G035849															GRMZM2G046348		
																									GRMZM2G302528	GRMZM5G805685		GRMZM2G001191	GRMZM2G028266	GRMZM5G836308			GRMZM2G069865	GRMZM2G157908	GRMZM5G888613	GRMZM2G022398											GRMZM5G858429	GRMZM2G035922															GRMZM2G046459		
																									GRMZM2G006212	GRMZM2G428628		GRMZM2G046458	GRMZM2G159477	GRMZM2G027851			GRMZM2G164085	GRMZM2G156336	GRMZM2G145850	AC194878.3_FG001											GRMZM2G085254	GRMZM2G035933															GRMZM2G046574		
																									GRMZM2G079785	GRMZM5G817764		GRMZM2G021498	GRMZM2G145101	GRMZM5G800336			GRMZM5G881296	GRMZM2G029798	GRMZM2G390076	GRMZM2G073551											GRMZM2G029396	GRMZM2G036050															GRMZM2G046658		
																									GRMZM2G369742	GRMZM2G022313		GRMZM2G096010	GRMZM2G394410	AC196708.3_FG006			GRMZM2G131467	GRMZM2G085300	GRMZM2G054802	GRMZM2G075368											GRMZM2G437460	GRMZM2G036070															GRMZM2G046748		
																									GRMZM2G175827	GRMZM2G172210		GRMZM2G358931	GRMZM2G480364	GRMZM5G899043			GRMZM2G069005	GRMZM2G415208	GRMZM5G839786	GRMZM5G817559											GRMZM2G022252	GRMZM2G036092															GRMZM2G046846		
																									GRMZM2G175927	GRMZM5G817495		GRMZM2G089193	GRMZM5G826321	GRMZM2G434170			GRMZM2G019144	GRMZM2G059124	GRMZM2G445057	GRMZM2G074501											GRMZM2G702923	GRMZM2G036134															GRMZM2G046932		
																									GRMZM2G053955	GRMZM2G447617		AC216886.3_FG002	GRMZM2G081012	GRMZM2G107665			AC234160.1_FG004	GRMZM2G134131	GRMZM5G829928	GRMZM2G137561											GRMZM2G177287	GRMZM2G036169															GRMZM2G047093		
																									GRMZM2G154058	GRMZM2G010054		GRMZM2G544753	GRMZM5G837058	GRMZM2G361475			GRMZM2G449645	GRMZM2G439696	GRMZM2G396114	GRMZM2G085825											GRMZM2G438895	GRMZM2G036206															GRMZM2G047097		
																									GRMZM2G040811	GRMZM2G159766		GRMZM2G145690	GRMZM2G149636	GRMZM2G089631			GRMZM2G121948	GRMZM2G329629	GRMZM2G000361	GRMZM2G112003											GRMZM5G801067	GRMZM2G036290															GRMZM2G047372		
																									AC212228.3_FG001	GRMZM2G098039		GRMZM2G049429	GRMZM2G134671	GRMZM5G837822			GRMZM2G039900	GRMZM2G166062	GRMZM2G035809	GRMZM2G088870											GRMZM2G167902	GRMZM2G036409															GRMZM2G047457		
																									GRMZM2G173865	GRMZM2G009232		GRMZM2G157147	GRMZM2G382591	GRMZM2G164314			GRMZM2G145594	GRMZM2G457370	GRMZM2G019958	GRMZM2G003493											GRMZM2G147614	GRMZM2G036455															GRMZM2G047512		
																									GRMZM2G146627	GRMZM2G020893		GRMZM5G814869	GRMZM2G479500	GRMZM2G561939			AC211652.4_FG002	GRMZM2G129999	GRMZM2G136306	GRMZM2G010714											AC233979.1_FG009	GRMZM2G036502															GRMZM2G047590		
																									GRMZM2G156301	GRMZM2G477762		GRMZM2G156756	GRMZM2G020320	GRMZM2G159691			GRMZM2G083410	GRMZM2G141362	GRMZM2G303639	GRMZM5G839481											GRMZM2G118295	GRMZM2G036534															GRMZM2G047607		
																									GRMZM2G316840	GRMZM2G084477		GRMZM2G045883	GRMZM2G317021	GRMZM2G048175			GRMZM5G868855	GRMZM2G013572	GRMZM5G821304	GRMZM2G460851											GRMZM2G119482	GRMZM2G036543															GRMZM2G047781		
																									GRMZM2G392737	GRMZM2G078895		GRMZM5G875082	GRMZM2G164591	GRMZM2G348914			GRMZM2G023220	GRMZM2G584844	AC195892.2_FG002	AC155434.2_FG005											GRMZM2G357804	GRMZM2G036564															GRMZM2G047791		
																									AC216201.3_FG005	GRMZM2G018873		GRMZM2G141596	GRMZM2G551787	AC197717.3_FG002			GRMZM2G006673	GRMZM2G180846	GRMZM2G148194	GRMZM2G060834											GRMZM2G062024	GRMZM2G036609															GRMZM2G048008		
																									GRMZM2G396977	GRMZM2G176612		GRMZM2G015287	GRMZM5G832569	GRMZM2G124684			GRMZM2G168791	GRMZM2G027624	GRMZM2G303296	GRMZM2G049466											GRMZM2G089498	GRMZM2G036720															GRMZM2G048045		
																									GRMZM2G140915	GRMZM2G158489		GRMZM2G089351	GRMZM5G803789	GRMZM2G169967			GRMZM2G168087	GRMZM2G365736	GRMZM2G062069	GRMZM2G163975											GRMZM5G865818	GRMZM2G036765															GRMZM2G048257		
																									GRMZM2G155806	GRMZM2G165991		GRMZM2G099583	GRMZM2G408537	GRMZM2G130454			GRMZM2G030971	GRMZM2G122706	GRMZM2G028914	GRMZM2G174736											GRMZM5G817625	GRMZM2G036916															GRMZM2G048277		
																									GRMZM2G328005	GRMZM2G069618		GRMZM5G838592	GRMZM2G338333	GRMZM2G083847			GRMZM2G051968	GRMZM2G178062	GRMZM5G852619	GRMZM2G386995											GRMZM2G121724	GRMZM2G036918															GRMZM2G048611		
																									GRMZM2G159977	GRMZM2G146004		GRMZM2G029922	GRMZM2G069722	GRMZM2G081268			GRMZM2G007848	GRMZM2G440046	GRMZM5G858820	GRMZM2G006871											GRMZM5G811740	GRMZM2G036991															GRMZM2G048703		
																									GRMZM2G049368	GRMZM2G016640		GRMZM2G067402	AC211276.4_FG008	AC185474.3_FG005			GRMZM2G139903	GRMZM2G417287	GRMZM2G072865	GRMZM2G085035											GRMZM5G833578	GRMZM2G037064															GRMZM2G049055		
																									GRMZM2G484436	GRMZM2G024838		GRMZM2G140633	GRMZM2G027333	GRMZM2G124963			GRMZM2G165418	GRMZM2G179354	GRMZM2G096470	GRMZM5G844272											GRMZM2G065532	GRMZM2G037104															GRMZM2G049088		
																									GRMZM2G167669	GRMZM2G111782		GRMZM2G142565	GRMZM2G141636	GRMZM2G076544			GRMZM2G021781	GRMZM2G071264	GRMZM2G058039	GRMZM2G133169											GRMZM2G068217	GRMZM2G037128															GRMZM2G049091		
																									GRMZM5G865798	GRMZM2G143102		GRMZM2G113418	GRMZM2G095579	GRMZM2G091435			GRMZM2G097775	GRMZM2G017116	GRMZM2G022837	GRMZM2G700390											GRMZM5G883043	GRMZM2G037134															GRMZM2G049159		
																									GRMZM2G349670	GRMZM2G313316		GRMZM2G117458	GRMZM5G830133	GRMZM2G406313			GRMZM2G127363	GRMZM2G310766	AC194970.5_FG001	GRMZM5G854562											GRMZM2G071675	GRMZM2G037140															GRMZM2G049190		
																									GRMZM2G103783	GRMZM5G870176		GRMZM2G465734	GRMZM5G839882	GRMZM2G045834			GRMZM2G461145	GRMZM2G428379	GRMZM2G367186	GRMZM2G098667											GRMZM2G033356	GRMZM2G037164															GRMZM2G049201		
																									GRMZM2G464676	GRMZM2G106276		GRMZM2G097275	GRMZM2G107226	GRMZM2G062289			GRMZM2G125802	GRMZM2G155873	GRMZM2G113181	GRMZM2G004356											GRMZM2G005456	GRMZM2G037177															GRMZM2G049487		
																									AC206265.3_FG006	GRMZM2G022175		GRMZM5G878153	GRMZM2G113252	GRMZM2G073628			GRMZM2G103896	GRMZM2G181150	GRMZM2G010221	GRMZM2G374986											GRMZM2G027839	GRMZM2G037200															GRMZM2G049525		
																									GRMZM2G457193	GRMZM2G148810		GRMZM2G115000	GRMZM2G365298	GRMZM2G036629			GRMZM2G147430	GRMZM2G164628	GRMZM2G000749	GRMZM2G339957											GRMZM5G870629	GRMZM2G037226															GRMZM2G049866		
																									AC200178.2_FG002	GRMZM2G463498		GRMZM2G363429	GRMZM2G133032	GRMZM2G083292			GRMZM2G478920	GRMZM2G476357	GRMZM2G324467	GRMZM2G166430											GRMZM2G115975	GRMZM2G037265															GRMZM2G049909		
																									GRMZM2G072594	GRMZM2G153615		GRMZM2G035843	GRMZM2G363186	GRMZM5G808782			GRMZM5G820733	GRMZM2G017944	GRMZM2G113476	GRMZM2G139872											GRMZM2G085568	GRMZM2G037280															GRMZM2G050003		
																									GRMZM2G133738	GRMZM2G008714		GRMZM2G078541	GRMZM5G869788	GRMZM2G425482			GRMZM2G135045	GRMZM5G899577	GRMZM5G877425	GRMZM2G160609											GRMZM2G004924	GRMZM2G037378															GRMZM2G050118		
																									GRMZM2G046751	GRMZM2G084647		GRMZM2G127591	GRMZM2G160541	GRMZM2G003835			GRMZM2G408989	GRMZM2G028712	GRMZM2G163178	GRMZM2G416491											GRMZM2G019050	GRMZM2G037379															GRMZM2G050325		
																									AC207223.3_FG004	GRMZM2G119736		GRMZM2G178603	GRMZM2G030794	GRMZM2G049373			GRMZM2G120329	GRMZM2G419434	GRMZM2G010447	GRMZM5G821164											GRMZM2G053042	GRMZM2G037444															GRMZM2G050371		
																									GRMZM2G301127	GRMZM2G132284		GRMZM2G147213	GRMZM2G031991	GRMZM2G097900			GRMZM2G160324	GRMZM2G443560	GRMZM2G050845	GRMZM2G155340											GRMZM2G076484	GRMZM2G037624															GRMZM2G050467		
																									GRMZM2G133862	GRMZM2G162954		GRMZM2G001803	GRMZM2G127668	GRMZM5G852037			GRMZM2G406177	AC208677.3_FG011	GRMZM5G807616	GRMZM2G008558											GRMZM2G032336	GRMZM2G037683															GRMZM2G050501		
																									GRMZM2G451394	GRMZM2G032182		GRMZM2G067583	GRMZM5G858373	GRMZM2G035278			GRMZM2G018885	GRMZM2G135244	AC198982.3_FG006	GRMZM5G880625											GRMZM2G083475	GRMZM2G037694															GRMZM2G050714		
																									GRMZM2G090566	GRMZM2G025240		GRMZM2G135909	GRMZM2G119623	GRMZM2G146374			GRMZM2G367206	GRMZM2G013187	GRMZM2G022876	GRMZM2G084347											GRMZM2G124883	GRMZM2G037725															GRMZM2G050765		
																									GRMZM2G352310	GRMZM2G429842		GRMZM2G081053	GRMZM2G339728	GRMZM2G072322			GRMZM2G012834	GRMZM2G100022	GRMZM2G144273	GRMZM2G081238											GRMZM2G099187	GRMZM2G037743															GRMZM2G050885		
																									GRMZM2G068361	GRMZM2G343024		GRMZM2G067921	GRMZM2G130305	GRMZM2G081504			GRMZM2G144362	GRMZM2G114866	GRMZM2G130085	GRMZM2G046088											GRMZM5G845096	GRMZM2G037823															GRMZM2G050925		
																									GRMZM5G879009	GRMZM2G078210		GRMZM2G307588	GRMZM2G053027	GRMZM2G070716			GRMZM2G003417	GRMZM5G860302	GRMZM2G058595	GRMZM2G044851											GRMZM5G809858	GRMZM2G037865															GRMZM2G050982		
																									GRMZM2G320132	GRMZM2G024159		GRMZM2G007113	GRMZM2G159431	GRMZM2G003789			GRMZM2G010452	GRMZM2G027510	GRMZM2G032293	GRMZM2G035601											GRMZM5G846198	GRMZM2G037923															GRMZM2G051374		
																									GRMZM5G883935	GRMZM2G120724		GRMZM5G818860	GRMZM2G001602	GRMZM2G157845			GRMZM2G170061	GRMZM2G440022	GRMZM2G003157	GRMZM2G050399											GRMZM2G416184	GRMZM2G037999															GRMZM2G051626		
																									GRMZM2G022686	GRMZM5G870028		GRMZM2G172657	GRMZM2G018695	GRMZM2G104999			GRMZM2G084762	GRMZM2G178750	GRMZM2G151566	GRMZM2G399495											GRMZM2G098764	GRMZM2G038050															GRMZM2G051637		
																									GRMZM2G168016	GRMZM2G059565		GRMZM2G118063	GRMZM2G018447	GRMZM5G829665			GRMZM2G158734		GRMZM2G418415	GRMZM5G859049											GRMZM2G017536	GRMZM2G038066															GRMZM2G051792		
																									GRMZM2G517720	GRMZM2G158155		GRMZM2G080689	GRMZM2G180732	GRMZM2G058447			GRMZM2G005107		GRMZM2G453524	GRMZM2G106338											GRMZM2G374385	GRMZM2G038108															GRMZM2G051890		
																									AC203909.3_FG003	GRMZM2G047457		GRMZM5G897980	GRMZM2G126582	GRMZM2G168707			GRMZM5G896568		GRMZM2G113495	GRMZM2G082055											GRMZM2G314037	GRMZM2G038252															GRMZM2G052105		
																									AC196727.2_FG005	GRMZM5G836302		GRMZM2G179514	GRMZM2G083574	GRMZM2G139512			GRMZM2G010775		GRMZM2G100652	GRMZM2G023133											GRMZM2G353548	GRMZM2G038279															GRMZM2G052178		
																									GRMZM2G038916	GRMZM2G125934		AC204763.2_FG001	GRMZM2G103657	GRMZM2G118241			GRMZM2G057394		GRMZM2G445384	GRMZM5G854975											AC217358.3_FG011	GRMZM2G038281															GRMZM2G052200		
																									GRMZM2G531955	GRMZM2G155111		GRMZM2G033634	GRMZM2G057779	GRMZM2G139550			GRMZM2G009323		GRMZM2G155370	GRMZM2G061005											GRMZM2G145750	GRMZM2G038284															GRMZM2G052328		
																									AC214670.3_FG004	GRMZM2G128986		GRMZM2G044512	GRMZM2G365162	GRMZM2G138074			GRMZM2G320703		GRMZM2G024073	GRMZM2G088343											GRMZM2G309285	GRMZM2G038313															GRMZM2G052403		
																									AC192601.2_FG005	GRMZM2G001255		GRMZM2G135849	GRMZM2G153358	GRMZM2G037284			GRMZM2G054765		GRMZM2G090719	AC203862.4_FG002											GRMZM2G131723	GRMZM2G038338															GRMZM2G052688		
																									GRMZM2G090269	GRMZM2G143720		GRMZM2G467435	AC208201.3_FG003	GRMZM2G411938			GRMZM2G132991		GRMZM2G044900	GRMZM2G057170											AC205574.3_FG006	GRMZM2G038374															GRMZM2G052855		
																									GRMZM2G495672	GRMZM5G898796		GRMZM2G090480	GRMZM2G421791	GRMZM2G175101			GRMZM2G416646		GRMZM2G041991	GRMZM2G072350											GRMZM2G169270	GRMZM2G038401															GRMZM2G052875		
																									GRMZM2G336859	GRMZM2G013349		GRMZM2G003028	GRMZM2G119521	GRMZM2G093090			GRMZM2G162079		GRMZM2G414537	GRMZM2G104342											GRMZM2G026643	GRMZM2G038485															GRMZM2G052880		
																									GRMZM2G033230	GRMZM2G139828		GRMZM2G049681	GRMZM2G407740	GRMZM2G073908			GRMZM2G000039		GRMZM2G160473	GRMZM2G126413											GRMZM2G095124	GRMZM2G038494															GRMZM2G052935		
																									GRMZM2G418450	GRMZM2G012999		GRMZM2G470756	GRMZM2G117164	GRMZM2G033820			GRMZM2G173542		GRMZM2G075651	GRMZM2G317253											GRMZM2G122148	GRMZM2G038588															GRMZM2G053199		
																									GRMZM2G104489	GRMZM5G892787		GRMZM2G008202	GRMZM2G030636	GRMZM5G875073			GRMZM2G121123		AC215911.2_FG003	GRMZM5G850436											GRMZM2G391000	GRMZM2G038606															GRMZM2G053210		
																									GRMZM2G028801	GRMZM2G520811		GRMZM2G103873	GRMZM2G146847	GRMZM2G080959			GRMZM2G016546		GRMZM2G007354	GRMZM2G001454											GRMZM2G074270	GRMZM2G038623															GRMZM2G053319		
																									GRMZM2G389625	GRMZM2G398848		GRMZM2G108991	GRMZM2G118345	GRMZM2G556555			GRMZM2G146697		GRMZM2G155753	GRMZM5G838754											GRMZM2G028945	GRMZM2G038791															GRMZM2G053767		
																									AC204887.4_FG003	GRMZM2G030713		GRMZM2G079629	GRMZM2G044902	GRMZM2G138053			GRMZM2G147446		GRMZM5G885515	GRMZM2G149786											GRMZM5G830874	GRMZM2G038820															GRMZM2G054076		
																									GRMZM2G389582	GRMZM2G423959		GRMZM2G116376	GRMZM2G137582	GRMZM2G104511			GRMZM2G147623		GRMZM2G158595	GRMZM5G835118											GRMZM5G869993	GRMZM2G038848															GRMZM2G054522		
																									GRMZM2G305739	GRMZM2G474905		GRMZM2G142553	AC155434.2_FG006	GRMZM2G094990			GRMZM2G122805		GRMZM2G361688	GRMZM2G180979											GRMZM2G094072	GRMZM2G038855															GRMZM2G054537		
																									GRMZM2G174128	GRMZM2G018607		AC184787.2_FG002	GRMZM2G480605	GRMZM2G034843			GRMZM2G000874		GRMZM2G093139	GRMZM2G418258											GRMZM2G048012	GRMZM2G038922															GRMZM2G054706		
																									AC189792.3_FG005	GRMZM2G416105		GRMZM5G843914	GRMZM2G139941	GRMZM5G826750			GRMZM5G817439		GRMZM2G586921	GRMZM2G100090											GRMZM5G837526	GRMZM2G038934															GRMZM2G054765		
																									GRMZM2G066683	GRMZM2G372475		GRMZM2G171248	GRMZM2G405474	GRMZM2G550861			GRMZM5G856306		GRMZM2G014833	GRMZM2G115013											GRMZM2G078116	GRMZM2G038964															GRMZM2G054998		
																									GRMZM2G376825	GRMZM2G083518		GRMZM5G888250	GRMZM2G164036	GRMZM5G878008			GRMZM5G827398		GRMZM2G107089	GRMZM2G090262											GRMZM2G118467	GRMZM2G038967															GRMZM2G055020		
																									GRMZM2G069670	GRMZM2G135359		GRMZM2G061568	GRMZM2G105362	GRMZM2G035620			GRMZM2G704093		GRMZM2G179941	GRMZM2G360698											GRMZM5G879861	GRMZM2G038982															GRMZM2G055172		
																									GRMZM2G340297	GRMZM2G037655		GRMZM2G005205	GRMZM2G001875	GRMZM5G824388			AC197146.3_FG001		GRMZM5G899787	GRMZM2G048165											GRMZM2G113174	GRMZM2G038988															GRMZM2G055507		
																									GRMZM2G021604	GRMZM2G171232		GRMZM2G165695	GRMZM2G058641	GRMZM2G401521			GRMZM2G004736		GRMZM2G100719	AC193957.3_FG009											GRMZM2G396846	GRMZM2G039011															GRMZM2G055538		
																									GRMZM2G391473	GRMZM2G127080		AC204707.4_FG003	GRMZM2G303431	GRMZM2G020852			GRMZM2G042807		GRMZM2G029058	GRMZM2G335000											GRMZM2G011631	GRMZM2G039029															GRMZM2G055643		
																									GRMZM2G105627	GRMZM2G017805		AC203220.3_FG002	GRMZM2G109464	GRMZM2G090584			GRMZM5G821952		GRMZM2G429396	GRMZM2G468661											GRMZM2G074906	GRMZM2G039089															GRMZM2G055667		
																									GRMZM2G562928	GRMZM2G138029		GRMZM2G425531	GRMZM5G892742	GRMZM5G843972			GRMZM2G370488		GRMZM2G087081	GRMZM2G050333											GRMZM2G022229	GRMZM2G039155															GRMZM2G055724		
																									GRMZM2G404802	GRMZM2G134545		GRMZM2G119483	GRMZM2G068322	GRMZM2G527261			GRMZM2G165355		GRMZM2G109560	GRMZM5G892991											GRMZM2G079013	GRMZM2G039186															GRMZM2G055754		
																									AC235539.1_FG001	GRMZM5G850869		GRMZM5G893921	GRMZM5G866334	GRMZM5G845601			GRMZM2G116004		GRMZM2G077258	GRMZM2G166931											GRMZM2G422858	GRMZM2G039187															GRMZM2G055785		
																									GRMZM2G478996	GRMZM2G353076		GRMZM2G050126	GRMZM2G101408	GRMZM2G061052			GRMZM2G033829		GRMZM2G057237	GRMZM2G089556											GRMZM2G301194	GRMZM2G039254															GRMZM2G055807		
																									GRMZM2G366485	GRMZM2G089056		GRMZM2G032071	GRMZM2G107815	GRMZM2G142709			GRMZM2G484495		GRMZM2G088356	GRMZM2G000592											GRMZM2G165365	GRMZM2G039263															GRMZM2G055880		
																									GRMZM5G841861	GRMZM2G453452		GRMZM2G487328	GRMZM2G302604	GRMZM2G485111			GRMZM2G086371		GRMZM2G127374	GRMZM2G092616											GRMZM2G036918	GRMZM2G039325															GRMZM2G055899		
																									GRMZM2G369299	GRMZM2G005290		GRMZM2G571334	GRMZM5G848603	GRMZM2G129357			GRMZM2G403149		GRMZM2G051403	GRMZM2G043976											GRMZM2G021270	GRMZM2G039365															GRMZM2G055905		
																									GRMZM5G803011	GRMZM2G150925		GRMZM2G341089	GRMZM2G015983	GRMZM2G107211			GRMZM2G081745		GRMZM2G123646	GRMZM2G175718											GRMZM2G021729	GRMZM2G039385															GRMZM2G055970		
																									GRMZM2G160408	GRMZM2G022793		GRMZM2G071599	GRMZM5G801299	GRMZM2G087809			GRMZM2G359070		GRMZM2G113796	GRMZM2G077295											GRMZM2G070054	GRMZM2G039454															GRMZM2G056350		
																									GRMZM2G153456	GRMZM2G013639		GRMZM2G018487	GRMZM2G168447	GRMZM2G405486			GRMZM2G048584		GRMZM2G014114	GRMZM2G319402											GRMZM2G358386	GRMZM2G039455															GRMZM2G056393		
																									GRMZM2G511109	GRMZM2G103805		GRMZM2G024247	AC217887.3_FG003	GRMZM2G432128			GRMZM2G032944		GRMZM2G047919	GRMZM2G108214											GRMZM2G178271	GRMZM2G039588															GRMZM2G056501		
