"v3_gene_model","v4_gene_model",,,
"AC148152.3_FG001","Zm00001d007725",,,
"AC148152.3_FG002",,,,
"AC148152.3_FG005","Zm00001d007718",,,
"AC148152.3_FG006","Zm00001d007717",,,
"AC148152.3_FG007",,,,
"AC148152.3_FG008","Zm00001d007716",,,
"AC148167.6_FG001","Zm00001d018986",,,
"AC149475.2_FG002","Zm00001d048402",,,
"AC149475.2_FG003","Zm00001d048403",,,
"AC149475.2_FG004",,,,
"AC149475.2_FG005","Zm00001d048404",,,
"AC149475.2_FG006",,,,
"AC149475.2_FG007","Zm00001d048407",,,
"AC149475.2_FG008",,,,
"AC149810.2_FG003","Zm00001d048442",,,
"AC149810.2_FG004","Zm00001d048441",,,
"AC149810.2_FG008","Zm00001d048342",,,
"AC149818.2_FG001","Zm00001d048393",,,
"AC149818.2_FG002",,,,
"AC149818.2_FG003",,,,
"AC149818.2_FG004","Zm00001d048394",,,
"AC149818.2_FG005","Zm00001d048396",,,
"AC149818.2_FG006","Zm00001d048397",,,
"AC149818.2_FG007","Zm00001d048398",,,
"AC149818.2_FG008","Zm00001d048400",,,
"AC149818.2_FG009","Zm00001d048401",,,
"AC149828.2_FG002","Zm00001d048271",,,
"AC149828.2_FG004","Zm00001d048273",,,
"AC149828.2_FG005","Zm00001d048274",,,
"AC149829.2_FG002","Zm00001d048307",,,
"AC149829.2_FG003","Zm00001d048308",,,
"AC149829.2_FG004","Zm00001d048309",,,
"AC149829.2_FG006","Zm00001d048310",,,
"AC150739.3_FG001","Zm00001d048542",,,
"AC152495.1_FG002","Zm00001d023317",,,
"AC152495.1_FG003","Zm00001d023327",,,
"AC152495.1_FG005",,,,
"AC152495.1_FG006",,,,
"AC152495.1_FG007",,,,
"AC152495.1_FG008",,,,
"AC152495.1_FG009",,,,
"AC152495.1_FG010","Zm00001d023318",,,
"AC152495.1_FG011",,,,
"AC152495.1_FG012","Zm00001d023318",,,
"AC152495.1_FG013",,,,
"AC152495.1_FG014",,,,
"AC152495.1_FG015","Zm00001d023319",,,
"AC152495.1_FG016",,,,
"AC152495.1_FG017","Zm00001d023320",,,
"AC155352.2_FG001","Zm00001d003216",,,
"AC155352.2_FG006",,,,
"AC155352.2_FG007",,,,
"AC155352.2_FG008",,,,
"AC155352.2_FG009",,,,
"AC155352.2_FG010",,,,
"AC155352.2_FG012",,,,
"AC155352.2_FG013",,,,
"AC155376.2_FG002","Zm00001d012157",,,
"AC155376.2_FG003",,,,
"AC155376.2_FG004","Zm00001d012158",,,
"AC155376.2_FG005","Zm00001d012159",,,
"AC155377.1_FG001","Zm00001d044303",,,
"AC155377.1_FG002","Zm00001d044304",,,
"AC155390.2_FG002","Zm00001d028388",,,
"AC155434.2_FG001","Zm00001d022529",,,
"AC155434.2_FG002",,,,
"AC155434.2_FG003","Zm00001d022528",,,
