"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 55.92571 70.38925 49.17605 NA 54.96147 69.90713 52.06876 55.92571 43.87275 NA 65.56807 62.67536 40.98004 54.96147 NA 81.477965 84.85279 86.29915 47.24758 80.99585 68.46078 54.96147 60.746885 53.033 40.015805 116.67259 52.06876 88.22762 NA 106.54811 65.56807 54.96147 75.21043 NA 55.44359 NA 40.49792 55.44359 53.033 75.21043 NA 186.57972 62.67536 72.79984 67.49654 53.99723 65.08595 84.85279 63.6396 60.74689 84.852795
"2" 49.26947 59.413185 44.30112 NA 57.13602 60.03423 43.88709 50.92559 49.26947 NA 65.623625 60.034225 45.12918 51.75364 NA 81.356725 84.87598 84.46195 44.30112 79.286585 67.07272 43.47306 58.37811 48.85544 39.7468 108.88967 52.5817 83.21986 NA 101.85117 60.03423 53.82379 66.24466 NA 46.57828 NA 39.33277 53.40976 58.171095 78.25151 NA 169.13091 61.897355 69.763915 56.30797 51.96066 67.48675 79.90763 52.99573 62.10437 76.388375
"3" 51.64623 59.29752 45.90776 NA 53.55905 54.515465 45.90776 55.47187 53.55905 NA 67.905225 55.47187 46.86417 47.82058 NA 90.8591 78.42575 77.46934 47.82058 82.2514 76.51293 55.47187 53.55905 48.77699 47.82058 158.76433 55.47187 91.81551 NA 114.76939 62.166755 59.29752 72.68728 NA 53.55905 NA 42.08211 55.47187 58.34111 79.38216 NA 231.45161 64.07958 62.166755 59.29752 50.689815 62.166755 88.94628 74.60011 65.9924 95.64116
"4" 55.12015 64.306845 46.64013 NA 53.70682 54.413485 46.64013 53.70682 53.70682 NA 62.89351 62.18684 48.053465 56.53349 NA 92.573595 76.32021 71.37353 50.88014 77.73355 69.25353 52.29348 55.12015 48.760135 38.16011 130.02703 55.12015 91.160255 NA 113.77365 65.72018 56.53349 73.49354 NA 48.760135 NA 39.57344 55.12015 55.12015 64.306845 NA 214.827265 60.7735 65.01351 57.94683 72.0802 66.42685 80.56022 62.18684 62.18684 68.54686
"5" 50.47421 60.388785 45.06626 NA 57.68481 65.796745 46.86891 50.47421 54.980835 NA 66.69807 64.89542 45.06626 55.88216 NA 91.033845 73.90867 79.31662 45.06626 73.90867 68.50072 52.27686 58.586135 50.47421 41.46096 151.42264 54.07951 107.2577 NA 117.17228 60.388785 63.09276 55.88216 NA 51.375535 NA 41.46096 55.88216 55.88216 67.599395 NA 239.75251 62.191435 69.402045 59.48746 52.27686 59.48746 76.612645 52.27686 63.99409 67.599395
"6" 52.03229 66.34117 44.22745 NA 62.43875 67.641975 49.43068 57.23552 50.731485 NA 67.64198 66.34117 52.03229 57.23552 NA 100.16216 85.85328 78.04844 49.43068 83.25167 80.65005 59.83713 57.23552 54.63391 45.528255 166.50333 54.63391 110.56862 NA 106.666195 61.13794 65.04036 72.84521 NA 59.83713 NA 44.22745 59.83713 58.536325 80.65005 NA 257.55984 71.5444 68.942785 75.44682 84.552475 70.24359 87.154085 72.84521 65.04036 87.154085
"7" 56.12064 68.5919 53.00283 NA 65.47408 68.5919 49.88502 56.12064 59.23846 NA 71.70971 62.35627 43.64939 62.35627 NA 84.18097 84.18097 84.18097 46.7672 74.82753 65.47408 49.88502 53.00283 53.00283 48.32611 146.53724 59.23846 107.564565 NA 98.211125 57.67955 62.35627 68.5919 NA 53.00283 NA 43.64939 59.23846 59.23846 62.35627 NA 233.83602 62.35627 68.5919 65.47408 68.5919 65.47408 90.41659 62.35627 63.915175 71.709715
"8" 57.54048 67.46126 55.55633 NA 63.49295 69.445415 43.6514 59.52464 50.595945 NA 70.43749 63.49295 46.627635 57.54048 NA 91.27111 79.36619 76.389955 47.61971 75.39788 69.44541 47.61971 55.55633 51.58802 45.63556 150.79575 53.57218 98.215655 NA 101.19189 59.52464 59.52464 67.46126 NA 47.61971 NA 43.6514 57.54048 53.57218 62.50087 NA 227.18571 59.52464 67.46126 59.52464 74.4058 65.4771 94.247345 59.52464 63.49295 79.36619
"9" 54.56437 64.87097 48.50166 NA 69.11486 68.50859 50.92674 55.77691 49.10793 NA 72.14622 60.62707 50.92674 55.77691 NA 90.94061 81.24028 76.996385 47.28912 78.20893 71.53995 50.92674 52.745555 52.13928 42.43895 135.80465 54.56437 87.909255 NA 99.4284 56.38318 64.2647 66.68978 NA 48.50166 NA 42.43895 56.98945 62.44589 67.29605 NA 201.281885 61.83962 72.14622 64.2647 73.35876 61.233345 92.15315 60.62707 63.05216 75.17757
"10" 54.93013 69.643555 49.04476 NA 60.8155 62.77729 47.08297 58.85371 47.08297 NA 76.50983 59.834605 46.102075 56.89192 NA 92.20415 82.3952 72.58624 49.04476 84.35699 74.54804 49.04476 59.834605 51.00655 49.04476 149.09607 54.93013 115.74563 NA 96.12773 64.73908 62.77729 64.73908 NA 51.00655 NA 43.15939 58.85371 64.73908 80.43341 NA 219.72052 64.73908 74.54804 64.73908 71.605345 66.70087 107.89847 62.77729 60.8155 75.528935
