"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"13" 49.5691 67.01008 46.81526 59.66651 45.89732 61.50241 51.405 50.48705 40.848615 28.91531 57.371645 60.58446 40.38964 50.48705 NA 65.633165 68.84598 84.91004 39.47169 72.976735 61.50241 39.930665 46.81526 45.89732 39.47169 152.3791 44.97937 94.54847 NA 89.0408 56.91267 53.699865 44.97937 NA 48.65116 NA 37.6358 49.5691 49.5691 69.30495 NA 283.64542 55.535755 61.50241 63.797275 66.092135 56.91267 83.99209 47.73321 57.83062 61.043435
"14" 49.87392 67.159765 47.323545 59.792025 52.70766 52.14091 46.7568 56.10816 42.789555 32.021325 60.358775 63.19252 44.20643 47.60692 NA 64.60939 77.07787 79.061495 40.80593 69.99351 61.2089 37.97219 49.30717 46.756795 42.789555 103.14833 47.60692 88.41285 NA 78.77812 59.50865 50.157295 48.457045 NA 47.04017 NA 35.13844 48.74042 47.60692 56.391535 NA 168.89122 57.808405 64.60939 66.87639 64.326015 69.71014 71.41038 51.00742 60.0754 73.67738
"15" 47.63552 60.17119 47.00874 78.347895 55.15692 55.15692 31.33916 56.41049 43.24804 33.21951 62.051535 64.55867 46.38196 47.63552 NA 75.21398 72.70685 62.67832 37.60699 83.362165 71.45328 46.381955 50.14265 40.11412 48.262305 129.744115 46.38196 130.3709 NA 91.51034 60.17119 53.27657 63.93188 NA 51.39622 NA 35.09986 48.88909 55.15692 72.70685 NA 229.40264 60.17119 67.69258 68.319365 86.49608 58.91762 83.362165 55.15692 52.64979 84.61573
"16" 48.9715 65.96161 47.472375 64.462485 45.97325 57.96627 42.47528 51.96976 39.477025 36.97848 56.46714 63.962775 40.97615 45.97325 NA 67.96045 77.95463 72.45783 37.9779 73.95696 68.95987 41.97557 46.97266 42.97499 41.47586 120.92962 46.97266 127.92555 NA 74.95638 55.96743 49.97092 49.47121 NA 48.9715 NA 35.97906 47.97208 53.96859 69.45958 NA 215.87437 60.96452 66.96103 62.46365 85.949985 59.9651 92.94591 62.96336 56.96685 80.95289
"17" 44.19133 66.711915 53.5395 72.23583 50.99 65.43716 37.81758 58.6385 42.91658 31.868745 59.913245 71.38599 46.74083 50.14016 NA 67.13683 69.68633 65.43716 40.792 73.93549 64.58733 42.49166 49.29033 42.49166 47.165745 132.57399 45.04116 96.03116 NA 91.78199 55.23916 53.11458 45.04116 NA 50.99 NA 37.39266 49.29033 47.59066 65.012245 NA 216.70748 62.03783 66.287 60.76308 73.51058 62.03783 76.060075 46.74083 53.5395 69.26141
"18" 41.96975 64.56885 48.1576 73.716105 46.81241 62.95463 35.24383 55.42159 39.54842 36.319975 62.95463 68.066325 44.66012 45.19819 NA 68.066325 77.48262 71.025735 38.20324 76.675505 66.18307 45.736265 50.57893 45.19819 40.624565 116.762 44.66012 101.69594 NA 93.62483 54.88352 47.619525 43.85301 NA 50.04086 NA 34.97479 47.35049 50.57893 73.98514 NA 200.7015 59.726185 63.4927 65.10692 71.56381 62.41655 84.477575 52.73123 57.03582 73.17803
"19" 39.52379 65.40246 42.34692 84.22332 64.93194 55.52152 41.8764 60.22673 37.641705 41.876395 63.52038 73.401325 41.40588 45.17005 NA 62.10881 88.45801 76.694975 37.64171 77.1655 63.04986 49.40474 49.87526 48.93422 40.464835 72.46028 42.81744 95.04531 NA 81.87071 54.58047 48.93422 58.34464 NA 45.17005 NA 33.87754 47.05213 52.69839 76.224455 NA 121.3945 64.46142 69.63716 79.988625 67.75507 82.81175 91.28114 68.69611 62.10881 87.987485
"20" 50.23481 57.41122 46.64661 73.30182 51.26001 51.26001 36.90721 48.18441 39.47021 32.29381 53.31042 57.41122 43.05841 44.08361 NA 73.30182 73.81442 78.42782 36.90721 67.66322 58.43642 43.05841 41.00801 45.10881 39.98281 125.07444 47.15921 86.11682 NA 98.41923 51.26001 44.59621 55.87342 NA 46.13401 NA 33.83161 46.13401 52.28522 71.25142 NA 225.54407 58.43642 60.48682 58.43642 83.041225 59.46162 88.67983 47.15921 58.43642 70.73882
"21" 44.84025 57.65174 44.84025 69.395615 46.97549 50.17837 40.56975 53.38124 40.035935 34.164 58.71937 61.92224 43.77262 46.97549 NA 68.32799 72.59849 81.13949 38.4345 67.26037 61.92224 49.11074 43.77262 45.90787 44.306435 152.67036 42.705 109.96536 NA 88.61287 56.58412 48.57693 53.38124 NA 51.24599 NA 36.29925 49.11074 51.24599 90.214305 NA 277.58247 59.78699 64.05749 56.050305 81.673305 52.31362 75.267555 52.31362 55.51649 57.11793
"22" 42.94057 60.32127 47.03014 63.38845 41.91817 47.03014 34.76141 48.05254 48.563735 34.76141 60.832465 64.410845 41.91817 47.03014 NA 73.1012 73.6124 72.59 38.85099 73.6124 70.54521 40.38458 43.96296 43.96296 41.91817 146.7136 41.91817 114.50817 NA 87.92592 56.23169 53.675705 54.6981 NA 47.03014 NA 34.76141 48.05254 56.23169 74.123595 NA 263.77776 59.810075 63.38845 61.85486 75.657185 50.09733 80.25796 49.07493 57.25409 80.25796
