"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"1" 56.0699 73.84817 51.28345 NA 64.959035 NA 55.72801 56.41179 49.23211 NA 74.873835 77.95084 45.81321 55.38612 NA 87.52375 85.472415 98.80611 51.28345 90.94265 80.68596 45.12944 61.19825 56.41179 48.89022 139.49098 58.80502 100.51556 NA 106.66957 69.06171 57.43746 62.22392 NA 56.0699 NA 43.0781 60.17258 65.9847 82.05352 NA 207.18513 67.35226 77.95084 64.27526 NA 72.48061 114.87493 74.53195 74.87384 81.36974
"2" 65.22927 81.70131 60.6171 NA 69.84144 NA 57.98157 64.57039 51.39276 NA 76.430255 86.31348 48.098355 59.29934 NA 89.60789 79.06578 97.51447 55.34605 92.24341 80.38355 50.075 54.02828 54.02828 54.687165 144.95394 54.02828 127.82302 NA 101.46775 67.20592 65.88815 67.20592 NA 57.98157 NA 47.43947 61.93486 63.25263 93.56118 NA 214.79538 66.547035 72.47697 60.6171 NA 75.11249 112.00986 64.57039 68.52368 75.11249
"3" 64.09835 73.14753 64.09835 NA 72.39343 NA 52.40983 61.83606 56.55737 NA 73.14753 75.032775 51.65573 61.83606 NA 92.75408 81.81966 89.36064 53.54098 88.60654 79.18032 45.24589 52.40983 54.29507 59.19671 156.09834 57.688515 125.18031 NA 95.77048 68.62294 58.06556 65.2295 NA 54.29507 NA 46.75409 61.83606 64.09835 67.86884 NA 229.24587 64.4754 70.88523 60.32786 NA 80.68851 103.31146 79.93441 65.9836 81.44261
"4" 58.08699 76.60749 54.71963 NA 64.82172 NA 64.4008 58.08699 53.45687 NA 74.92381 70.29368 54.71963 59.77068 NA 90.91877 85.86773 105.65098 51.35227 84.18405 72.8192 54.71963 49.66859 55.98239 47.98491 142.27105 58.08699 96.81166 NA 90.07693 75.76565 55.56147 59.349755 NA 53.87779 NA 43.77571 60.61252 61.45436 86.70957 NA 221.40405 62.2962 69.03092 62.2962 NA 65.66356 94.28614 58.08699 71.55644 74.92381
"5" 52.23421 72.22508 59.32774 NA 82.542945 NA 55.458545 60.295045 50.29961 NA 78.02888 78.99618 51.91178 61.26234 NA 83.83268 83.18781 88.66918 50.94448 82.542945 75.44941 47.72014 58.36044 53.52394 50.944475 143.80529 55.45854 118.01062 NA 92.86082 69.64561 67.06614 63.519375 NA 61.26234 NA 47.07527 61.90721 58.360445 73.51481 NA 232.7969 72.22508 74.15968 72.86995 NA 74.80455 105.11328 67.71101 68.67831 92.21595
"6" 54.650285 78.07184 56.60208 NA 69.288755 NA 55.626185 62.45747 50.746695 NA 71.24055 74.16825 46.843105 60.50567 NA 91.73441 84.903125 87.83082 50.7467 91.73441 77.09594 46.8431 60.505675 54.65029 48.7949 142.48111 57.57798 105.39698 NA 103.44519 60.50567 62.45747 70.26465 NA 54.65029 NA 44.89131 60.50567 58.55388 87.83082 NA 222.50474 70.26465 68.31286 68.31286 NA 70.26465 124.91494 64.40927 68.31286 87.83082
"7" 57.787415 71.49968 59.74631 NA 70.520235 NA 57.78741 53.379895 50.441555 NA 71.49968 73.9483 49.95183 56.80797 NA 92.06808 85.701675 91.578355 48.97238 87.17084 79.824985 43.0957 56.31824 53.86962 48.48266 168.465 56.318245 109.69814 NA 108.71869 67.58189 60.72576 62.68465 NA 55.82852 NA 46.03404 60.72576 56.318245 93.04753 NA 268.36866 67.58189 77.37637 64.64355 NA 66.60244 95.98587 78.35581 70.03051 80.31471
"8" 57.10415 71.4773 52.83105 NA 75.36194 NA 55.93876 61.37725 46.227165 NA 74.973475 68.758055 47.004095 55.16183 NA 83.13121 94.396655 95.17358 48.94641 89.34663 72.25423 45.06178 56.715685 60.60032 45.8387 116.53908 56.71569 87.01585 NA 110.32366 66.03881 59.82339 62.9311 NA 55.16183 NA 43.50792 59.04647 59.046465 89.34663 NA 174.03169 71.865765 80.80043 66.03881 NA 80.80043 103.33132 69.14652 71.08884 80.80043
"9" 58.122045 72.48161 61.54099 NA 71.114035 NA 59.48962 62.90857 48.549 NA 75.21677 80.00329 47.86521 60.17341 NA 95.73043 83.42223 97.09801 49.23279 92.99527 82.05465 57.43826 53.33552 54.7031 50.600365 180.52024 58.80583 143.59564 NA 91.6277 62.90857 61.54099 69.74645 NA 60.17341 NA 46.49764 61.54099 62.908565 98.46558 NA 258.47216 71.11403 67.0113 69.74645 NA 76.58434 121.7144 87.52496 69.74645 79.3195
"10" 51.04496 83.24256 51.04496 NA 80.88664 NA 51.43762 58.898035 45.940465 NA 69.10703 75.78214 49.47435 55.75681 NA 103.66054 92.66624 108.37239 51.04496 100.911965 80.493985 41.62128 60.46865 60.46865 49.081695 115.44015 58.11273 101.30462 NA 113.08423 74.60418 67.53641 73.426215 NA 54.9715 NA 42.40659 60.46865 74.211525 111.51361 NA 162.55858 66.75111 78.53071 76.17479 NA 76.17479 102.08993 67.53641 70.67764 94.23686
