"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
"13" 51.90052 70.96602 46.60455 NA 63.551655 NA 46.60455 59.84448 NA NA 65.67005 70.96602 46.60455 56.1373 NA 90.03152 82.61716 79.43957 49.78213 77.32118 80.49877 50.31173 61.962865 54.01891 47.66374 124.98493 60.37408 113.863385 NA 128.69211 74.6732 66.72924 63.02206 NA 50.84133 NA 40.24938 59.31488 71.495615 90.03152 NA 199.12853 61.43327 78.38038 68.84763 70.96602 66.729245 104.86024 59.31488 76.791585 84.73554
"14" 51.49856 66.266525 46.575895 NA 71.567845 NA 48.090565 69.67452 NA NA 73.46117 88.60781 45.4399 56.79988 NA 89.743805 92.39447 90.12247 52.25589 80.27716 73.46117 65.50919 60.586535 57.178545 46.95456 110.57043 58.31454 110.949095 NA 109.43443 73.46117 74.21851 74.59717 NA 56.79988 NA 40.89591 58.31454 75.73317 86.33581 NA 163.96231 64.37319 77.24783 74.21851 59.8292 68.15985 96.18112 75.73317 76.869165 87.85048
"15" 50.72373 60.75051 45.41543 NA 55.442215 NA 50.723725 60.1607 NA NA 63.69957 71.95692 40.107135 48.36448 NA 94.95954 87.292 81.39389 50.72373 81.39389 84.93275 75.49578 57.80146 55.44221 46.59505 147.4527 60.1607 106.75575 NA 137.42591 65.469 61.34032 80.80408 NA 53.08297 NA 38.92751 56.62184 75.49578 106.16594 NA 238.28356 71.95692 71.95692 56.62184 63.69957 63.69957 126.21951 96.72897 81.9837 87.292
"16" 53.95896 65.261175 49.948495 NA 67.08411 NA 41.198395 64.896585 NA NA 70.72999 85.31349 43.38592 54.323545 NA 86.042665 84.58431 80.93844 48.12556 77.29256 75.83421 67.084115 62.34447 53.22978 48.12556 123.23059 55.41731 100.62617 NA 107.917915 75.834215 67.81329 67.08411 NA 58.33401 NA 40.83381 59.06318 71.459165 83.85514 NA 192.502235 67.81329 75.83421 74.37586 87.50101 75.469625 102.08452 66.35494 74.375865 76.56339
"17" 52.6433 65.68112 51.65931 NA 67.4031 NA 47.23137 65.68112 NA NA 65.43513 84.13088 41.573445 54.11928 NA 88.55882 89.05081 80.68692 46.73938 81.67091 74.29101 62.483165 54.61127 55.59526 43.787415 116.60245 56.08725 102.08864 NA 114.388475 76.012985 67.4031 73.55302 NA 52.1513 NA 42.80343 58.54722 70.60106 93.47875 NA 183.02156 74.045015 79.70294 75.76699 48.21536 72.323035 114.14248 82.1629 76.50498 80.19493
"18" 50.36909 71.30905 48.38828 NA 76.968495 NA 46.407475 67.630405 NA NA 75.83661 71.30905 43.860725 54.3307 NA 78.66633 92.24901 83.19389 51.218005 82.062 76.96849 56.594485 48.105305 56.02854 44.42667 117.71652 57.16043 90.55117 NA 107.246545 69.045265 74.13877 65.366625 NA 54.89665 NA 41.87992 58.85826 69.611215 78.10038 NA 199.21258 68.47932 78.10038 71.87499 48.10531 86.87253 127.33758 70.7431 80.364165 73.57283
"19" 48.31998 63.00546 48.31998 NA 55.89958 NA 40.74037 62.53173 NA NA 60.63683 84.3231 43.58272 53.05723 NA 90.481525 97.5874 85.27055 49.26743 82.42819 79.58584 63.95291 51.16233 55.89958 42.161545 147.80228 55.89958 108.00936 NA 116.53641 69.637615 66.32154 64.900365 NA 57.79448 NA 40.74037 57.79448 71.05879 86.218 NA 231.651655 69.637615 83.37565 70.11134 78.63839 77.217215 125.06347 70.11134 77.217215 83.37565
"20" 50.09065 72.9261 54.142105 NA 60.77175 NA 50.458965 64.08657 NA NA 68.50633 78.08249 41.61944 55.98367 NA 94.6566 88.39527 81.76563 50.458965 70.71622 79.55574 61.50838 53.03716 53.77379 52.66885 141.43243 58.19355 94.656605 NA 120.438555 71.08453 69.24296 67.03308 NA 56.7203 NA 41.98775 58.93018 71.08453 78.81912 NA 217.30504 67.03308 78.81912 70.71622 77.34586 69.97959 100.18131 69.24296 79.924055 78.08249
"21" 53.57165 69.47573 46.456665 NA 68.220145 NA 46.03814 63.197805 NA NA 67.80162 79.52042 41.85285 57.75693 NA 82.031585 86.21687 95.4245 49.38636 73.66102 71.9869 50.22342 53.99018 56.08282 46.456665 152.34438 59.43105 88.309515 NA 115.09534 69.47573 70.31279 59.431045 NA 51.89753 NA 42.68991 60.2681 69.0572 77.8463 NA 241.49095 61.94222 77.00924 70.31279 58.59399 74.49807 96.26156 66.1275 84.12423 66.1275
"22" 51.41087 64.26358 48.197685 NA 68.119395 NA 55.26668 64.906215 NA NA 60.40777 70.68994 41.12869 54.624045 NA 88.68374 89.96902 95.1101 47.55505 79.68684 78.40157 55.909315 54.624045 59.1225 41.12869 151.66205 57.83722 95.1101 NA 117.602355 66.83413 66.83413 75.83103 NA 60.40777 NA 38.55815 57.83722 67.476765 88.68374 NA 232.63417 65.54885 80.97211 65.54885 74.54576 62.97831 105.39227 70.68994 85.470565 71.97521
"23" 53.09005 72.05078 53.43479 NA 68.94812 NA 48.26368 61.708565 NA NA 68.25864 74.46397 42.40309 57.91642 NA 87.56411 85.49567 91.701 51.02161 76.53241 73.77449 54.81375 57.91642 55.84798 44.1268 134.44883 57.91642 113.074915 NA 109.28277 77.56663 68.25864 71.3613 NA 55.15849 NA 42.05835 59.29538 71.70604 84.1167 NA 208.56806 64.12175 77.91137 68.94812 53.09005 62.05331 99.97477 62.05331 76.87715 73.08501
"24" 59.51186 67.950115 51.517735 NA 79.49719 NA 45.300075 71.05894 NA NA 75.50013 78.16484 43.5236 63.06481 NA 86.603085 84.38249 80.82955 51.96185 78.16484 77.2766 63.06481 63.50893 55.07068 49.74126 171.4297 58.62363 107.92077 NA 97.26193 70.614825 79.05307 65.72952 NA 56.84715 NA 45.30008 63.06481 65.72952 71.05894 NA 278.90635 69.28247 71.94718 64.84129 71.05894 80.829545 112.80607 66.61776 79.05307 91.48839
"25" 49.49765 73.690325 46.716885 NA 86.203775 NA 52.556495 66.46033 NA NA 65.6261 77.86148 48.385345 57.005725 NA 80.364165 95.65839 100.10761 49.77573 80.64224 74.52456 62.84533 52.000345 56.17149 50.331885 134.58912 58.95226 111.23068 NA 103.72261 73.690325 66.73841 59.508415 NA 52.27842 NA 41.71151 60.62072 66.46033 71.18764 NA 230.525585 71.74379 76.74917 78.97378 66.73841 87.03801 110.11837 71.18764 82.866855 78.41763
"26" 55.01464 74.24018 48.21175 NA 69.50774 NA 59.4513 68.62041 NA NA 65.66263 76.90218 48.507525 59.4513 NA 86.071285 84.5924 75.12751 50.57797 72.76129 70.39507 58.859745 57.08508 55.60619 48.507525 107.66305 57.97241 94.057285 NA 111.80394 73.05707 74.53596 65.95841 NA 53.23997 NA 44.36664 60.33863 64.47952 87.55017 NA 163.56502 63.29641 69.80352 75.12751 65.07107 71.578185 98.19817 57.97241 76.31062 78.67685
"27" 48.02219 63.51322 52.6695 NA 70.484185 NA 59.640465 75.131495 NA NA 71.25874 69.70963 41.82578 54.2186 NA 92.94618 91.39708 80.55335 55.76771 86.74977 80.55335 55.76771 61.96412 54.2186 41.82578 131.67375 60.41502 106.888105 NA 113.08452 73.58239 71.25874 75.90605 NA 57.31681 NA 41.82578 60.41502 73.58239 88.29887 NA 216.87442 71.25874 75.90605 82.10246 54.2186 83.65156 119.28093 69.70963 75.906045 83.65156
"28" 55.3746 69.21825 53.06732 NA 71.52552 NA 47.299135 66.91097 NA NA 69.21825 66.91097 43.83822 55.3746 NA 80.75462 89.98372 83.0619 53.06732 78.44735 73.8328 59.98915 53.067325 53.06732 48.45277 133.82194 62.29642 99.212815 NA 126.90012 73.8328 66.91097 71.52552 NA 55.3746 NA 41.53095 59.98915 63.45006 78.44735 NA 229.57385 68.06461 76.14007 71.52552 57.68187 72.67916 99.21282 73.8328 71.52552 73.8328
"29" 56.66704 71.008705 52.46948 NA 72.058095 NA 53.86867 70.30911 NA NA 68.56013 78.35443 45.82335 55.26786 NA 82.901785 86.74955 87.44914 49.67111 79.75362 74.15687 54.91806 56.66704 57.36664 43.72457 112.63449 55.26786 100.74141 NA 106.33816 73.10748 73.45728 67.510735 NA 55.26786 NA 42.67518 59.46542 67.16094 83.25158 NA 184.34279 64.36257 71.3585 74.85646 74.85646 76.605445 107.73734 64.36257 76.605445 75.55606
"30" 51.25991 66.693 46.85045 NA 68.62214 NA 50.43314 68.070955 NA NA 66.693 72.20482 44.094545 55.66936 NA 84.60641 88.18909 92.04736 50.15755 74.40955 74.40955 61.456775 49.60636 57.32291 37.480365 130.07891 59.52764 94.25209 NA 124.01591 67.24418 68.89773 72.48041 NA 54.01582 NA 41.88982 60.63 69.17332 81.02373 NA 205.86641 67.24418 77.71664 70.00009 72.756 70.00009 90.39382 65.03946 83.50405 73.85836
"31" 55.30899 66.5311 55.30899 NA 70.13821 NA 40.88056 64.12636 NA NA 72.14216 87.37217 46.09082 54.10662 NA 86.97138 84.16585 80.95953 46.8924 77.75321 74.5469 51.70188 56.51136 55.30899 50.09872 111.41956 58.51531 111.018765 NA 112.221135 68.13426 72.14216 75.34848 NA 58.51531 NA 43.28529 60.92004 69.33663 95.38796 NA 166.32775 68.93584 70.539 69.73742 67.33268 76.150055 103.40376 61.72162 71.74137 87.37217
"32" 58.25562 77.460765 54.734675 NA 67.538105 NA 51.8539 64.65733 NA NA 66.57785 78.10094 44.17184 59.53596 NA 82.262055 87.70351 80.66162 50.253475 77.46076 78.74111 68.178275 61.456475 55.374845 47.052615 124.83346 61.45647 95.705655 NA 114.910805 72.019305 75.54025 72.019305 NA 55.69493 NA 42.8915 61.45647 64.337245 87.06334 NA 191.091225 66.25776 67.21802 72.33939 92.18471 67.21802 104.34797 63.37699 78.421025 82.58214
"33" 53.01859 73.342385 50.367665 NA 85.713395 NA 45.065805 67.15689 NA NA 68.92417 74.22603 42.41487 54.78588 NA 83.06246 90.13161 84.82975 49.48402 83.06246 83.06246 57.43681 64.505955 54.78588 45.94945 132.54648 65.3896 106.037185 NA 117.52455 72.45874 63.62231 68.924175 NA 56.55317 NA 40.64759 60.08774 71.5751 90.13161 NA 231.51453 68.92417 70.69146 79.52789 58.32045 80.411535 116.64091 72.45874 75.109675 93.66618
"34" 52.19153 67.84899 50.01688 NA 66.10927 NA 41.75322 67.84899 NA NA 64.36955 73.06814 41.75322 56.54082 NA 87.42081 84.3763 82.63659 49.14702 78.28729 77.41743 55.236035 53.93125 53.06139 53.93125 153.09515 55.67096 96.989255 NA 122.65009 68.28392 62.62983 74.37293 NA 58.28054 NA 43.49294 58.28054 66.97913 85.24616 NA 245.73511 68.28392 79.15715 62.62983 59.1504 70.89349 110.47207 73.938 81.76673 72.19828
"35" 54.86345 69.86517 52.720345 NA 63.00724 NA 48.86276 69.43655 NA NA 66.00759 81.43793 42.86207 58.29241 NA 75.43724 80.58069 82.29517 50.57724 75.43724 73.72276 57.86379 61.29276 53.14897 50.14862 156.01793 60.0069 115.72759 NA 102.868965 67.72207 63.43586 72.00828 NA 56.57793 NA 42.86207 60.0069 64.2931 74.58 NA 261.45862 66.86483 66.00759 65.15034 63.43586 64.72172 117.44207 61.72138 75.86586 76.29448
