"Gene_name" "PC" "P-value" "FDR" "Tissue" "Cold_response" "Drought_response" "Drought_down-regulated" "Drought_up-regulated"
"51" "GRMZM2G104505" "PC3" 3.99426384020251e-06 0.0336916154921081 "LMAN26" TRUE "no" FALSE FALSE
"52" "GRMZM2G425482" "PC3" 2.68852092308467e-05 0.064592090837133 "LMAN26" TRUE "no" FALSE FALSE
"53" "GRMZM5G829894" "PC3" 1.88231842093289e-05 0.064592090837133 "LMAN26" TRUE "no" FALSE FALSE
"54" "GRMZM2G012183" "PC5" 3.34303011283589e-08 0.000281984590017708 "LMAN26" TRUE NA NA NA
"55" "GRMZM2G046804" "PC5" 2.86650319289229e-05 0.0587148883401569 "LMAN26" FALSE "no" FALSE FALSE
"56" "GRMZM2G140328" "PC5" 7.88477845984222e-05 0.0950115804410987 "LMAN26" FALSE "no" FALSE FALSE
"57" "GRMZM2G162200" "PC5" 3.26562195964934e-05 0.0587148883401569 "LMAN26" TRUE "no" FALSE FALSE
"58" "GRMZM2G369839" "PC5" 9.06060551903289e-05 0.095532759441303 "LMAN26" TRUE NA NA NA
"59" "GRMZM2G391936" "PC5" 3.03175606031244e-06 0.0127864311843677 "LMAN26" FALSE "no" FALSE FALSE
"60" "GRMZM2G394941" "PC5" 3.48043202964771e-05 0.0587148883401569 "LMAN26" NA "no" FALSE FALSE
"61" "GRMZM5G800586" "PC5" 6.66129667930539e-05 0.0936467291499016 "LMAN26" FALSE "no" FALSE FALSE
"62" "GRMZM2G164378" "PC2" 7.53507980954262e-06 0.0639652925032073 "L3Tip" FALSE "no" FALSE FALSE
"63" "GRMZM2G052422" "PC4" 1.19642401824256e-06 0.0101564434908611 "L3Tip" FALSE "yes" TRUE FALSE
"64" "GRMZM2G053801" "PC2" 1.46963029565833e-06 0.0149828808642367 "GShoot" TRUE "no" FALSE FALSE
"65" "GRMZM2G062577" "PC2" 1.03185523276133e-05 0.0525988204900086 "GShoot" NA "no" FALSE FALSE
"66" "GRMZM2G093574" "PC2" 2.71795580277532e-06 0.0314059793010688 "L3Base" TRUE "no" FALSE FALSE
"67" "GRMZM2G087207" "PC3" 3.32775806659132e-06 0.0384522444594628 "L3Base" TRUE "no" FALSE FALSE
